,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country
0,AKRAM SHERIFF,ADA: Automated Moving Target Defense for AI Workloads via Ephemeral Infrastructure-Native Rotation in Kubernetes,Building a secure agentic AI application leveraging A2A protocol,AI_ML,-34.5791717,-58.4555188,,Buenos Aires,Autonomous City of Buenos Aires,Argentina
1,AKRAM SHERIFF,ADA: Automated Moving Target Defense for AI Workloads via Ephemeral Infrastructure-Native Rotation in Kubernetes,Building a secure agentic AI application leveraging A2A protocol,CISCO  SYSTEMS,37.4102905,-121.9272284,Santa Clara County,San Jose,California,United States
2,AKRAM SHERIFF,ADA: Automated Moving Target Defense for AI Workloads via Ephemeral Infrastructure-Native Rotation in Kubernetes,Building a secure agentic AI application leveraging A2A protocol,GENAI,-5.9407235,145.0212283,Gembogl District,,Simbu,Papua New Guinea
3,AKRAM SHERIFF,ADA: Automated Moving Target Defense for AI Workloads via Ephemeral Infrastructure-Native Rotation in Kubernetes,Building a secure agentic AI application leveraging A2A protocol,Security,34.060294,-117.5872399,San Bernardino County,Ontario,California,United States
4,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),A novel zero-trust identity framework for agentic ai: Decentralized authentication and fine-grained access control,AI_ML,-34.5791717,-58.4555188,,Buenos Aires,Autonomous City of Buenos Aires,Argentina
5,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),A novel zero-trust identity framework for agentic ai: Decentralized authentication and fine-grained access control,CISCO  SYSTEMS,37.4102905,-121.9272284,Santa Clara County,San Jose,California,United States
6,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),A novel zero-trust identity framework for agentic ai: Decentralized authentication and fine-grained access control,GENAI,-5.9407235,145.0212283,Gembogl District,,Simbu,Papua New Guinea
7,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),A novel zero-trust identity framework for agentic ai: Decentralized authentication and fine-grained access control,Security,34.060294,-117.5872399,San Bernardino County,Ontario,California,United States
8,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,AI_ML,-34.5791717,-58.4555188,,Buenos Aires,Autonomous City of Buenos Aires,Argentina
9,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,CISCO  SYSTEMS,37.4102905,-121.9272284,Santa Clara County,San Jose,California,United States
